0,26
8,4
9,22
10,505
11,356
12,301
13,251
14,183
15,151
16,137
17,104
18,98
19,80
275,1
20,67
21,74
22,61
23,37
24,36
25,34
26,39
27,31
28,26
29,30
30,18
31,20
32,15
33,17
34,11
35,10
36,14
37,14
38,10
39,18
40,5
41,14
42,13
43,7
44,10
45,10
46,4
47,5
48,4
49,7
50,5
51,2
52,3
53,3
54,4
55,5
56,1
57,5
58,4
59,1
60,1
61,1
318,1
62,7
63,5
320,1
65,3
66,2
67,1
68,1
325,1
70,2
72,1
73,2
74,1
75,2
76,3
77,2
79,2
80,4
81,3
82,3
83,2
84,1
85,1
86,1
87,1
88,2
89,1
90,1
91,2
93,1
94,1
97,2
100,2
108,1
111,1
112,1
114,1
117,1
129,1
133,1
136,1
141,1
145,1
151,1
157,1
176,1
434,1
180,1
453,1
199,1
209,1
210,1
212,1
